Ident	Api	free	title	author	digital	available	isbn	barcode	year	branch	home_branch	category	publisher	keyword	system	audience	location	order	database
Egling	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kuenzell	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Heroldsberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Konz	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
MaxhuetteHaidhof	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Dettelbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Stendal	bibliotheca	true	false	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Hamburg	zones	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Hallbergmoos	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Schongau	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kirchseeon	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Balve	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Datteln	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Lohr_Main	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Waldkraiburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Niederwerrn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
StAugustin	bibliotheca	false	true	true	false	false	true	true	true	false	false	true	true	true	true	true	true	true	false
Witzenhausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Grossenseebach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Pulheim	sisis	true	true	true	false	false	true	false	true	false	false	true	true	true	true	false	false	false	false
Rinteln	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Finsing	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Donauwoerth	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Marseille_Aix_Universite	sru	true	true	true	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false
Nidda	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Dietfurt	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
NeufahrnBeiFreising	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bielefeld_HdK	bibliotheca	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	true	true	false
Mertingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
OerErkenschwick	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Wolfratshausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Obernburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Velen	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	false	true	true	false	true	false
RheineLudgerus	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Leichlingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Olching	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
HoechstadtAisch	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kevelaer	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Leipzig_Umweltbibliothek	bibliotheca	true	true	true	false	false	true	false	false	false	false	true	false	true	true	true	false	true	false
Bruckmuehl	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Karlstein	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Haltern	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Marktheidenfeld	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bergrheinfeld	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Leutershausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Haar	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Senden_St_Urban	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Straubing	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadSchwartau	iopac	true	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
Wiernsheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
KorntalMuenchingen	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Jesteburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadHersfeld	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Halberstadt	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Frankfurt_Oder	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Burtenbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Langenzenn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lemgo	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Gunzenhausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
NeuburgDonau	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Roettingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lich	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Dillenburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Roth	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Borken	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hassfurt	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Knetzgau	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Weinstadt	bibliotheca	true	false	true	false	false	false	false	true	false	false	true	false	true	false	true	false	true	false
Velbert	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Leutenbach	bibliotheca	false	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Lenggries	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Schwabmuenchen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Schwandorf	bibliotheca	true	true	true	false	false	false	false	false	false	false	true	false	true	true	false	false	true	false
Graben	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Metelen	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Arnsberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kassel	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Seligenstadt	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kronberg	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Hirschberg	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	true	true	true	true	false	true	false
Tuttlingen	bibliotheca	false	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Amberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Roethlein	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Karlsdorf_Neuthard	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Hofgeismar	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wiggensbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Werl	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Aschheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadAibling	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Pohlheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Herford	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lemfoerde	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Naumburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Ismaning	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lappersdorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Dietzhoelztal	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Soemmerda	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Niederneuching	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Oberkaufungen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hoechberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hersbruck	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kalkar	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Nittendorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Prittriching	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Heddesheim	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	true	true	true	true	false	true	false
Heiden	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
BadOeynhausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Guenzburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Veitsbronn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Koesching	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Eisleben	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Korbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Pentling	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Haan	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Milan_Biblioteca_Sormani	vufind	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Oberursel	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	false	false	true	false
Ostfildern	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wachtendonk_St_Michael	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Lemgo_HS	sisis	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Friedberg_Hessen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Ennigerloh	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Mainburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Magdeburg	bibliotheca	false	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Werne	bibliotheca	true	false	true	false	false	true	false	true	true	false	false	false	true	false	false	false	true	false
BadKissingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
MarlStGeorg	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Cadolzburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Loerrach_DHBW	adis	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Ochtrup	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Gerbrunn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Menden	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
HohenNeuendorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Altenberge	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Untermeitingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Ochsenfurt	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Utting	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Milan_Biblioteche_Publiche_Rionali	vufind	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Muenster_UK	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Bochum_EFH	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	false	false	true	false
Herzogenaurach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hemer	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	false	true	true	false	true	false
Kist	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Winsheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadBevensen	bibliotheca	false	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Raubling	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Rosenheim_FH	sisis	true	true	true	false	false	true	false	true	false	false	false	true	true	true	false	false	false	false
Wertheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Osnabrueck	biber1992	true	false	true	false	false	true	false	true	false	false	true	true	true	true	false	true	true	false
Schoeneck	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lindau	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Zwingenberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Stadtbergen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Meitingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Oberding	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kaufering	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
